iteration,mafia_win_rate,policy_loss,value_loss,entropy_loss,approx_kl,mean_reward,mean_return,std_return,trajectories_collected
6,0.65625,-0.005887605249881744,0.8516244180500507,-3.521848753094673,0.03692717954982072,0.07038848707452416,0.07038848707452416,0.9175516553223133,1094
7,0.46875,0.06385397433768958,0.9236570298671722,-3.4212190359830856,0.03814041591249406,0.14464673353359103,0.14464673353359103,0.9442987032234669,802
8,0.5,0.06084347330033779,0.9025451093912125,-3.667818069458008,0.04039945546537638,0.23591518495231867,0.23591518495231867,0.9557608254253864,1022
9,0.53125,0.006380258942954242,0.9286544285714626,-3.759120002388954,0.04357245401479304,0.26102555519901216,0.26102555519901216,0.976401012390852,998
10,0.46875,0.002797402848955244,0.861263282597065,-3.5980449616909027,0.04005085118114948,0.21794462646357715,0.21794462646357715,0.9293355196714401,980
11,0.59375,0.022910877130925655,0.8898635357618332,-3.5415227860212326,0.04046072775963694,0.2730908717494458,0.2730908717494458,0.9516566433012486,1044
12,0.53125,0.13869334966875613,0.8561268299818039,-3.5316426753997803,0.03791433398146182,0.12359676929190755,0.12359676929190755,0.9326561577618122,1009
13,0.59375,0.063429239904508,0.8875339701771736,-3.673464223742485,0.04092233069241047,0.17031503235921264,0.17031503235921264,0.94804797321558,1080
14,0.40625,0.07511433318722993,0.8843370638787746,-3.5417663156986237,0.0385084489826113,0.20332762971520424,0.20332762971520424,0.9437314756214619,959
15,0.53125,0.03323295898735523,0.9027233310043812,-3.564320757985115,0.038635835400782526,0.18974037980660796,0.18974037980660796,0.950860358774662,1043
16,0.4375,0.03835901792626828,0.8651113659143448,-3.4431816786527634,0.03691300505306572,0.23494706396013498,0.23494706396013498,0.9303635358810425,1041
17,0.625,0.07200593730522087,0.8891671858727932,-3.7445935755968094,0.04267690435517579,0.18128181574866176,0.18128181574866176,0.9266499504446983,1047
18,0.5625,0.055125326151028275,0.8731114640831947,-3.4964267164468765,0.03829963051248342,0.2323703784495592,0.2323703784495592,0.9368723481893539,1060
19,0.5625,0.09152982142404653,0.8897323608398438,-3.5920385122299194,0.040466891950927675,0.2006020457483828,0.2006020457483828,0.9491615816950798,1059
20,0.65625,0.03511021635495126,0.8868790343403816,-3.7152552753686905,0.03998188453260809,0.17947946721687913,0.17947946721687913,0.9492723867297173,1118
21,0.46875,0.10047520889202133,0.8844831511378288,-3.5820627957582474,0.04007423133589327,0.2186765461228788,0.2186765461228788,0.9487485811114311,940
22,0.53125,0.0435993286955636,0.8517969846725464,-3.656190127134323,0.042020296095870435,0.14917116379365325,0.14917116379365325,0.9035273231565952,1045
23,0.46875,0.057463114499114454,0.8786910735070705,-3.634695664048195,0.04096800775732845,0.1992097250185907,0.1992097250185907,0.9522244893014431,1008
24,0.46875,0.07237298792460933,0.8587280474603176,-3.5349964946508408,0.037898617796599865,0.2132032010704279,0.2132032010704279,0.9253690131008625,1021
25,0.40625,0.03362120728706941,0.8678696155548096,-3.6179986745119095,0.04130580637138337,0.20608459739014506,0.20608459739014506,0.9189704284071922,955
26,0.625,0.061619658838026226,0.8671472147107124,-3.543290674686432,0.03816329757682979,0.17669113399460912,0.17669113399460912,0.9320867694914341,988
