iteration,mafia_win_rate,policy_loss,value_loss,entropy_loss,approx_kl,mean_reward,mean_return,std_return,trajectories_collected
6,0.40625,0.027992645977064967,0.9002547971904278,-4.414529711008072,0.04748069052584469,0.32291309628635645,0.32291309628635645,0.9555017426609993,998
7,0.5625,0.08617123332805932,0.922299649566412,-4.601629540324211,0.05235419585369527,0.2710204622708261,0.2710204622708261,0.9633688814938068,977
8,0.4375,0.10502640384947881,0.8915092833340168,-4.430631041526794,0.04910615156404674,0.25039879116229713,0.25039879116229713,0.9438776634633541,1009
9,0.46875,0.20079023952712305,0.9081893116235733,-4.550125896930695,0.049855301855131984,0.2372689419426024,0.2372689419426024,0.9635069482028484,1015
10,0.53125,0.011541149826371111,0.9016310572624207,-4.290674850344658,0.04643945093266666,0.20052966638468206,0.20052966638468206,0.9429153576493263,1004
11,0.46875,0.006418708013370633,0.8994681872427464,-4.428443744778633,0.048692463198676705,0.4056006195023656,0.4056006195023656,0.9436824508011341,1035
12,0.3125,0.08138531225267798,0.934388130903244,-4.893297076225281,0.05309664085507393,0.3183085061609745,0.3183085061609745,0.9632191397249699,943
13,0.5625,-0.01535760416300036,0.8680378794670105,-4.469717845320702,0.04641164070926607,0.33795400289818645,0.33795400289818645,0.9399219527840614,1081
14,0.625,-0.06059149489738047,0.9008808508515358,-4.2979568392038345,0.04821018734946847,0.2679699109867215,0.2679699109867215,0.9489769637584686,1021
15,0.59375,-0.07736396772088483,0.905931118875742,-4.7891703099012375,0.05092950654216111,0.3715549949556589,0.3715549949556589,0.9634168297052383,1100
16,0.5,0.07518821698613465,0.8961958847939968,-4.453177586197853,0.04858581954613328,0.32448686426505446,0.32448686426505446,0.8969679363071918,1072
17,0.53125,0.016844618672621436,0.8517675697803497,-4.481081485748291,0.04903552541509271,0.3489453587681055,0.3489453587681055,0.9395616389811039,1159
18,0.40625,0.029201034660218284,0.9067616350948811,-4.735575407743454,0.051337784389033914,0.32472028443589807,0.32472028443589807,0.952098548412323,1018
19,0.46875,0.0637546203652164,0.9051846899092197,-4.456402063369751,0.05003702943213284,0.33742451714351773,0.33742451714351773,0.9392037242650986,1035
20,0.375,0.028107452701078728,0.8921561129391193,-4.611424654722214,0.04828334227204323,0.3128411932848394,0.3128411932848394,0.940475195646286,1056
21,0.5625,0.06060539628379047,0.8612052090466022,-4.856562107801437,0.05084224231541157,0.1675406799186021,0.1675406799186021,0.9274050816893578,980
22,0.5,0.015505961142480373,0.8591283969581127,-4.435096457600594,0.04934608959592879,0.21254084026440978,0.21254084026440978,0.9400984905660152,1047
23,0.59375,0.0643769828020595,0.8943354822695255,-4.776088163256645,0.05298548471182585,0.27244133269414306,0.27244133269414306,0.9464311711490154,1081
24,0.40625,0.05451463221106678,0.8932115100324154,-4.779754400253296,0.05216264049522579,0.25900794425979257,0.25900794425979257,0.9484130367636681,1053
