iteration,mafia_win_rate,policy_loss,value_loss,entropy_loss,approx_kl,mean_reward,mean_return,std_return,trajectories_collected
1,0.53125,0.04973281538384201,0.9111779082034316,-1.7028228374464172,0.04815870107683752,0.19842450839600392,0.19842450839600392,0.9342288098164967,1012
2,0.5,0.03432991109278599,0.869574081794969,-1.8487454036186481,0.03753900048644122,0.22200740766229815,0.22200740766229815,0.9160046265299978,1091
3,0.4375,0.03750351562662535,0.8657705692877603,-2.0981289397838503,0.03002275954552948,0.27245001224151183,0.27245001224151183,0.9164232211404069,1015
4,0.46875,0.02676490669825783,0.8478527505064636,-2.4058799686390238,0.025035464767098232,0.2770143369513698,0.2770143369513698,0.9180402522784654,1051
5,0.625,0.033259243238470675,0.8425169254763651,-2.8635697878013224,0.026340217620008072,0.2525617861015312,0.2525617861015312,0.9174123130612454,1204
6,0.5,0.030260711303230013,0.831930631102778,-3.440683463001778,0.02694995936073198,0.25639887112938897,0.25639887112938897,0.9094144543890137,1223
7,0.4375,0.03257291912672972,0.831447384455829,-4.053451523908134,0.028712808752423425,0.2708265993346288,0.2708265993346288,nan,1033
8,0.3125,0.03142406586759527,0.8251833704126862,-4.680334662204181,0.03089238186890977,0.2843105500015668,0.2843105500015668,0.9051030151570192,1267
9,0.40625,0.036575763699997,0.8156771947651865,-5.421728988436093,0.04190007577549499,0.28580025527478836,0.28580025527478836,0.9017652530311595,1390
10,0.375,0.03713789836911019,0.8083865232765675,-5.87855951488018,0.05910236982163042,0.37818734033498913,0.37818734033498913,0.892704950645566,1257
11,0.53125,0.01303093507885933,0.8178596533834934,-6.033126711845398,0.06120382435619831,0.28654044680297375,0.28654044680297375,0.9195218272507191,1561
12,0.53125,0.06394735528738238,0.789834201335907,-6.068997375667095,0.0563137436110992,0.23928558017360047,0.23928558017360047,0.8980112923309207,1471
13,0.40625,0.058472043834626675,0.8436361327767372,-6.253843516111374,0.06663697469048202,0.29108085250481963,0.29108085250481963,0.922905907034874,1437
14,0.46875,0.06860084144864231,0.8108925186097622,-6.152389943599701,0.08917343779467046,0.3257157411426306,0.3257157411426306,0.9173344820737839,1447
15,0.3125,-0.03426978657807922,0.79850297793746,-6.303563863039017,0.09077388956211507,0.23875766107812524,0.23875766107812524,0.895720086991787,1351
16,0.25,-0.03511598287150264,0.791293166577816,-6.0780147314071655,0.06681046565063298,0.2702672316227108,0.2702672316227108,0.9033387713134289,1439
17,0.28125,-0.011435323976911604,0.8015881441533566,-6.189532250165939,0.07423812872730196,0.36813175678253174,0.36813175678253174,0.8872097693383694,1336
