iteration,mafia_win_rate,policy_loss,value_loss,entropy_loss,approx_kl,mean_reward,mean_return,std_return,trajectories_collected
1,0.59375,0.017339454775130183,0.8839151658888521,-1.6015398851756393,0.042377645679717434,0.14108651378673726,0.14108651378673726,0.9314446891176289,1057
2,0.375,-0.0015298769491032586,0.9367384563345428,-1.727555980922979,0.033426273571446945,0.2711565170197859,0.2711565170197859,0.9482496845612832,932
3,0.625,0.027858865411893252,0.8846905616133712,-1.9906892675993055,0.0246599692835061,0.23075468603218363,0.23075468603218363,0.936308947586736,1129
4,0.5,0.03889363829712004,0.8712080393482176,-2.426363976728251,0.02400810069248656,0.25087383658077583,0.25087383658077583,0.9298960350837574,1116
5,0.3125,0.025269057763432863,0.8531182332820183,-2.9548122119661926,0.024227037753695873,0.30495467990309605,0.30495467990309605,0.9213943947610017,1144
6,0.5,0.03423188139326937,0.8470682596308844,-3.422868401663644,0.023907167660072445,0.30316330012466225,0.30316330012466225,0.9173989959274019,1077
7,0.375,0.032899952281989844,0.8228446161420784,-3.8621459609240443,0.023912986263225033,0.30916242279223544,0.30916242279223544,0.907659791354368,1235
8,0.28125,0.03719041655713553,0.805710087643076,-4.28563541868877,0.0246647605588952,0.31508441573852514,0.31508441573852514,0.8992299861170251,1212
9,0.375,0.036653536723060896,0.7912874704932574,-4.805168865877156,0.02595993503156903,0.3140142384635026,0.3140142384635026,0.8890568945657146,1404
