iteration,mafia_win_rate,policy_loss,value_loss,entropy_loss,approx_kl,mean_reward,mean_return,std_return,trajectories_collected
1,0.078125,0.042854068856175265,1.644493992372257,-24.891486987835023,0.015107265985423553,0.2731772831926324,1.0633472204208374,0.8081161975860596,1307
2,0.109375,0.03968957832913442,1.4382940555911465,-26.26517558385091,0.00907316470360215,0.2608910891089109,1.0410892963409424,0.8373587727546692,1315
3,0.125,0.030276206693008213,1.2292870852973434,-28.81202805173266,0.006076353538026944,0.25303187803187804,1.0362492799758911,0.8232961297035217,1452
4,0.078125,0.04648561116896178,1.0358580777519628,-30.211841377459073,0.006312662474221342,0.23405940594059405,1.0641608238220215,0.7804940938949585,1519
5,0.15625,0.02542313257876186,0.9499459789123064,-33.365351194216885,0.008494028576360843,0.22331133540372672,0.9489757418632507,0.873044490814209,1295
6,0.234375,0.01551504979841411,0.8545091289281845,-32.497295150756834,0.009481906489854737,0.20257537688442212,0.9484217762947083,0.871228039264679,1599
7,0.1875,0.004169037094276434,0.7849402793692154,-36.092138757983456,0.008238348824571641,0.2133720930232558,1.0526692867279053,0.8375322818756104,1647
8,0.234375,0.015571005123945856,0.776874579412421,-38.764351068083776,0.01465340413970179,0.20480645161290326,0.9976611733436584,0.8734881281852722,1563
9,0.203125,0.02158323557019825,0.7319304937353501,-39.59276595940957,0.015584945947326699,0.1993389423076923,1.0439602136611938,0.8535621166229248,1666
10,0.234375,0.016371267359002982,0.7692936427227342,-44.44774970441762,0.016674647757549836,0.2024113254511512,1.0098873376846313,0.8782907128334045,1614
